stage	job_id	dependency	status_at_submission	detail
scorex0_source_final_audit	11104981		REUSED_COMPLETED	terminal accounting, log, metric, loss, and coverage audit
cancelled_prior_fmDT_run	11116063		CANCELLED_NEVER_STARTED	prior attempt cancelled before start and never credited
cancelled_prior_fmDT_gate_loss_dispatch	11116064-11116066		CANCELLED_NEVER_STARTED	prior dependent jobs cancelled before start and never credited
failed_dynamic_metric_jobs	11149435-11149439		FAILED 1:0	all five failed before metric work because Anaconda3/2025.06-1 was unavailable on their CPU nodes; zero sidecars produced and none credited
retained_dynamic_wer_array	11149440_[0-4]		SUBMITTED	original Whisper large-v3 tasks retained for the retry graph
retained_dynamic_utmos_array	11149441_[0-4]		SUBMITTED	original UTMOSv2 tasks retained for the retry graph
unsatisfiable_dynamic_summary_final	11149442,11149445		PENDING_TO_CANCEL	original summary and terminal audit cannot satisfy after failed metrics; retry dispatcher cancels them before replacement submission
fmDT_metric_retry_dispatch	11149572		SUBMITTED	submits five-task established-environment metric retry array, rewrites only metric mapping IDs, and submits replacement summary and terminal-audit dependencies while retaining WER/UTMOSv2 arrays
failed_fmDT_metric_retry_dispatch	11149572		FAILED 1:0	cancelled stale dependents and submitted 11149575, then summary submission raced the fast metric failure; no summary/final replacement was created
failed_fmDT_metric_retry_array	11149575		FAILED 1:0	all five tasks failed in F0 before sidecar work because the approved-tree TMPDIR exceeded the AF_UNIX socket length limit; zero F0/MCD sidecars produced
fmDT_metric_retry2_dispatch	11149614	afterany:11149572	SUBMITTED	will submit retry2 metrics held, attach replacement summary/final dependencies, record all child IDs, then release the metric array; retains WER 11149440 and UTMOSv2 11149441
failed_fmDT_metric_retry2_dispatch	11149614	afterany:11149572	FAILED 1:0	old WER tasks failed during summary dependency submission; held metric array 11149621 was cancelled before running and produced no output
failed_fmDT_wer_array	11149440		FAILED/CANCELLED	tasks 0-2 failed before inference because login-node Lmod state could not resolve Anaconda3/2022.10; tasks 3-4 cancelled pending; zero WER sidecars produced
cancelled_fmDT_utmos_array	11149441		CANCELLED_NEVER_STARTED	cancelled before allocation because it used the same fragile login-shell module environment as failed WER; zero UTMOSv2 sidecars produced
fmDT_absolute_gpu_environment_probe	11149643		SUBMITTED	validates cached Whisper large-v3 and UTMOSv2 environments plus CUDA visibility without cluster modules
fmDT_retry3_dispatch	11149644	afterok:11149643	SUBMITTED	will atomically submit five individually held metric, WER, and UTMOSv2 jobs, attach summary/final dependencies to all 15 explicit IDs, record them, then release
fmDT_metric_retry4	11149886		SUBMITTED_HELD	five-task CPU metric array
fmDT_wer_retry2	11149887		SUBMITTED_HELD	five-task Whisper large-v3 array
fmDT_utmos_retry2	11149888		SUBMITTED_HELD	five-task UTMOSv2 array
fmDT_summary_retry4	11149889	afterok:11149886:11149887:11149888	SUBMITTED	replacement summary
fmDT_final_audit_retry4	11149890	afterok:11149889	SUBMITTED	terminal fmDT plus scorex0 audit and final report
